Source Target Weight
麻黄 桂枝 2
麻黄 杏仁 3
麻黄 炙甘草 3
麻黄 芍药 1
麻黄 细辛 2
麻黄 干姜 1
麻黄 五味子 1
麻黄 半夏 2
麻黄 石膏 1
麻黄 附子 1
麻黄 熟地黄 1
麻黄 鹿角 1
麻黄 白芥子 1
麻黄 肉桂 1
麻黄 生甘草 1
麻黄 炮姜炭 1
麻黄 白果 1
麻黄 紫苏子 1
麻黄 款冬花 1
麻黄 桑白皮 1
麻黄 黄芩 1
桂枝 麻黄 2
桂枝 杏仁 1
桂枝 炙甘草 9
桂枝 芍药 8
桂枝 生姜 4
桂枝 大枣 4
桂枝 细辛 3
桂枝 干姜 3
桂枝 五味子 1
桂枝 半夏 3
桂枝 当归 4
桂枝 黄连 2
桂枝 槟榔 1
桂枝 木香 1
桂枝 甘草炒 1
桂枝 大黄 3
桂枝 黄芩 2
桂枝 茯苓 5
桂枝 白术 3
桂枝 泽泻 3
桂枝 石膏 1
桂枝 寒水石 1
桂枝 滑石 1
桂枝 猪苓 2
桂枝 饴糖 1
桂枝 通草 1
桂枝 人参 4
桂枝 生地黄 1
桂枝 阿胶 3
桂枝 麦门冬 2
桂枝 麻仁 1
桂枝 干地黄 1
桂枝 山药 1
桂枝 山茱萸 1
桂枝 牡丹皮 4
桂枝 附子 1
桂枝 枳实 1
桂枝 厚朴 2
桂枝 薤白 1
桂枝 全瓜蒌 1
桂枝 桃仁 3
桂枝 芒硝 1
桂枝 吴茱萸 1
桂枝 川芎 1
桂枝 生甘草 1
桂枝 鳖甲 1
桂枝 柴胡 1
桂枝 瞿麦 1
桂枝 葶苈子 1
桂枝 乌梅 1
桂枝 附子炮 1
桂枝 蜀椒 1
桂枝 黄柏 1
杏仁 麻黄 3
杏仁 桂枝 1
杏仁 炙甘草 2
杏仁 桑叶 2
杏仁 菊花 1
杏仁 连翘 1
杏仁 薄荷 1
杏仁 桔梗 2
杏仁 生甘草 1
杏仁 芦根 1
杏仁 石膏 1
杏仁 麻仁 1
杏仁 芍药 1
杏仁 枳实 2
杏仁 大黄 1
杏仁 厚朴 2
杏仁 白果 1
杏仁 紫苏子 1
杏仁 款冬花 1
杏仁 桑白皮 1
杏仁 黄芩 2
杏仁 半夏 4
杏仁 紫苏叶 1
杏仁 茯苓 2
杏仁 前胡 1
杏仁 枳壳 1
杏仁 大枣 1
杏仁 陈皮 2
杏仁 沙参 1
杏仁 贝母 1
杏仁 淡豆豉 1
杏仁 滑石 1
杏仁 通草 1
杏仁 白豆蔻 1
杏仁 竹叶 1
杏仁 薏苡仁 1
杏仁 瓜蒌仁 1
杏仁 胆南星 1
炙甘草 麻黄 3
炙甘草 桂枝 9
炙甘草 杏仁 2
炙甘草 芍药 11
炙甘草 生姜 4
炙甘草 大枣 6
炙甘草 香附 1
炙甘草 紫苏叶 3
炙甘草 陈皮 9
炙甘草 细辛 3
炙甘草 干姜 8
炙甘草 五味子 3
炙甘草 半夏 8
炙甘草 石膏 5
炙甘草 升麻 3
炙甘草 葛根 3
炙甘草 人参 11
炙甘草 前胡 1
炙甘草 茯苓 14
炙甘草 枳壳 1
炙甘草 桔梗 3
炙甘草 木香 5
炙甘草 玉竹 1
炙甘草 生葱 1
炙甘草 白薇 1
炙甘草 淡豆豉 1
炙甘草 薄荷 3
炙甘草 柴胡 4
炙甘草 黄芩 3
炙甘草 枳实 3
炙甘草 当归 9
炙甘草 白术 13
炙甘草 知母 2
炙甘草 粳米 2
炙甘草 竹叶 1
炙甘草 大黄 3
炙甘草 芒硝 3
炙甘草 栀子 1
炙甘草 连翘 1
炙甘草 白芷 3
炙甘草 贝母 1
炙甘草 防风 3
炙甘草 皂角 1
炙甘草 穿山甲 1
炙甘草 瓜蒌根 1
炙甘草 乳香 1
炙甘草 没药 1
炙甘草 金银花 1
炙甘草 地骨皮 1
