Id Label Weight Yaoxing
麻黄 麻黄 6 温
桂枝 桂枝 17 温
杏仁 杏仁 9 温
炙甘草 炙甘草 45 平
芍药 芍药 31 平
生姜 生姜 13 微温
大枣 大枣 13 平
羌活 羌活 8 温
防风 防风 12 温
苍术 苍术 7 温
细辛 细辛 10 温
川芎 川芎 14 温
白芷 白芷 7 温
生地黄 生地黄 18 寒
黄芩 黄芩 26 寒
生甘草 生甘草 37 平
香附 香附 4 平
紫苏叶 紫苏叶 5 温
陈皮 陈皮 25 温
干姜 干姜 14 温
五味子 五味子 8 温
半夏 半夏 29 温
桔梗 桔梗 16 平
荆芥 荆芥 3 温
甘草炒 甘草炒 5 微温
柴胡 柴胡 15 微寒
连翘 连翘 7 微寒
金银花 金银花 4 寒
薄荷 薄荷 8 凉
竹叶 竹叶 4 寒
芥穗 芥穗 3 温
淡豆豉 淡豆豉 4 寒
牛蒡子 牛蒡子 3 寒
桑叶 桑叶 3 寒
菊花 菊花 2 微寒
芦根 芦根 2 寒
石膏 石膏 9 大寒
葛根 葛根 5 平
升麻 升麻 6 微寒
前胡 前胡 5 微寒
枳壳 枳壳 8 温
独活 独活 4 温
茯苓 茯苓 41 平
人参 人参 34 平
木香 木香 9 温
附子 附子 10 大热
玉竹 玉竹 2 平
生葱 生葱 1 温
白薇 白薇 1 寒
大黄 大黄 18 寒
厚朴 厚朴 16 温
枳实 枳实 10 微寒
芒硝 芒硝 9 大寒
牡丹皮 牡丹皮 11 微寒
桃仁 桃仁 9 平
冬瓜仁 冬瓜仁 2 寒
甘遂 甘遂 2 寒
当归 当归 32 温
麻仁 麻仁 3 平
牛膝 牛膝 7 平
肉苁蓉 肉苁蓉 2 温
泽泻 泽泻 10 寒
芫花 芫花 1 温
大戟 大戟 1 寒
青蒿 青蒿 3 寒
竹茹 竹茹 4 微寒
滑石 滑石 9 寒
青黛 青黛 2 大寒
槟榔 槟榔 4 温
草果 草果 1 温
知母 知母 10 寒
白术 白术 29 温
黄连 黄连 19 寒
粳米 粳米 4 平
